Label,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation
20135-NoIndex-L003-MERGED,256,105,72,1031,334,189,145,246,261,269,241,1612,305,18,61,672,100,318,605,252
20159-NoIndex-L005-MERGED,242,113,66,977,325,154,171,233,235,256,233,1583,294,14,65,724,79,296,724,438
20511_NoIndex_L001-MERGED,248,120,71,740,330,162,168,245,244,258,239,1611,227,19,56,665,83,276,120,548
20650-NoIndex-L007-MERGED,228,79,77,824,285,183,102,216,233,237,216,2715,459,25,66,1321,112,426,1321,384
20658-NoIndex-L002-MERGED,243,94,77,845,313,192,121,235,251,254,232,1528,291,10,67,684,55,299,500,689
20723-NoIndex-L007-MERGED,235,124,85,598,311,166,145,234,235,242,227,1604,247,52,47,632,195,512,265,542
20731-NoIndex-L002-MERGED,249,105,81,571,319,190,129,244,250,257,243,1743,208,46,36,613,180,375,557,347
C403-Boim7-2LanesMerged,246,81,59,1931,306,169,137,265,217,265,217,678,182,0,105,408,0,408,0,83
C404-Briz2-2LanesMerged,254,94,69,1149,317,181,136,268,241,268,238,463,119,5,88,248,15,248,17,490
K4Y17Y2-NoIndex-L002-MERGED,247,105,88,420,306,187,119,247,240,251,240,1720,228,41,41,609,178,468,178,537
ZO16,245,129,71,1252,341,161,180,230,257,262,230,1263,182,13,52,502,71,112,502,909
